scan_pk,timepoint,scan_id,peak1,peak2,peak3,peak4,peak5,peak6,peak7,peak8,peak9,peak10,peak11,peak12,peak13,peak14,peak15
8,-15.0,8,55093.92900549886,13979.323046139089,2708.482600442462,1658.9878882916405,2732.217137922371,1573.0223036277894,113.70544450698637,178.20736156801377,176.42328517293677,129.35993114398,100.84496050432097,204.48877507145755,190.268440926081,106.38806374366447,82.2430496678679
8,-14.0,8,54327.31182027071,14117.586671157196,2635.7052108353255,1643.2178538460694,2656.531455456255,1582.2753323092572,60.80971946560179,150.00117252347172,162.2720419595975,102.72235666015075,126.85924290333912,187.86239725567805,177.83971669181417,57.42377109666381,75.13175293234507
8,-13.0,8,55143.39202918859,13916.18230854354,2669.282336597486,1683.8732202911478,2784.795817362621,1621.7127614928374,122.76779733958253,177.52387311498572,199.58616943146635,103.27560265053575,137.7015034168611,231.3397075756792,179.79860752891707,128.41817140823744,119.3998642061149
8,-12.0,8,53876.007308857676,13597.273073710205,2432.8905794922653,1451.2785096661478,2544.6067302249126,1464.4938544713007,4.51323230383216,91.92834268216757,115.49282878796329,40.913934043769984,47.41989503090245,170.74933325936297,142.19497139144508,63.4681410995596,97.60202056750336
8,-11.0,8,54387.6068372687,13640.655488505701,2514.435232676654,1592.4489205123523,2676.7853780127907,1515.5264810918536,48.3761083297488,110.82410946240316,131.68822377274128,92.71956327705124,76.96611204843191,192.61810395848272,163.59914304439948,61.70906870747365,89.6625600942723
8,-10.0,8,54343.22914850887,13658.041824888352,2447.1103831370824,1578.1642122172075,2657.3384426038524,1542.3019436561558,42.747743573409,99.14468137890185,149.67546253535616,68.10037007433579,51.79573368053376,150.2428262458883,144.59073991205995,61.27427365430606,58.101662995301
8,-9.0,8,54528.49999267214,13810.000211988812,2550.6959259404853,1661.1922818150301,2701.492000444838,1587.0639980743624,75.56181230587069,172.85994124886383,165.8123446740523,133.91917930254291,108.00912442664264,207.21259464241882,193.92126945459293,100.19971545453734,98.0432673276465
8,-8.0,8,54705.595442786944,13137.413614149405,2560.500066799172,1842.3077416624365,2569.066288750249,1431.9028598656394,103.10844862976793,138.81557000744533,210.23283069656017,133.22772990043038,92.31108404616396,122.55040124340336,200.48415895024326,85.82924380121983,89.89724716251476
8,-7.0,8,54588.32746536657,12642.871782674878,2518.7966316667785,1922.7245638379882,2486.650934966901,1425.5646060277782,127.90819665640646,125.6117067583657,240.1877285833069,178.52347565372605,88.35974641304222,136.91008320830895,236.5556251189628,126.9992950568375,103.66599211433936
8,-6.0,8,54173.352553988385,12304.807396675064,2503.7287696839253,1956.5551612846907,2383.1180918145938,1336.0242163555167,155.255444472034,151.80298492751263,253.01510492878614,150.11071234964692,100.37172393117987,140.81768458638373,228.0477966390013,99.74504599360284,72.5551852995013
8,-5.0,8,53993.63572528423,11718.591156565582,2418.994021705084,2026.1419944649465,2237.3086174998707,1252.061702116655,179.29300626053006,106.23593916236064,183.8059559341535,174.88232769977975,91.71572005090832,127.61094809089046,205.11590803128664,109.99280838732022,105.7789251330554
8,-4.0,8,53733.48186561615,11454.311330554048,2518.2565173232388,1935.127382746438,2247.692069688197,1289.7444591713418,146.25712387319274,116.95164346504384,210.12262280269405,170.88582657757541,105.21018060575364,127.73215105271184,207.86015370714497,110.39970359676545,96.75149135094307
8,-3.0,8,52890.32888755406,11146.875120972953,2455.5912397376856,1905.5730354649168,2170.276488482908,1230.733448992831,143.85813949774024,105.01006472710196,166.5121586387764,144.3433901779203,83.35249772438385,132.40660489710297,205.29037021249522,81.51486156250837,101.84784188550259
8,-2.0,8,53319.718319135725,11067.048386456167,2465.008996541136,1967.4535078060785,2226.2158844764954,1257.2922553673636,171.14245558023936,112.40418583725182,189.28208927949672,150.06774119159917,95.53680781659966,132.35099165824602,202.05788439943584,89.47128717888086,99.76819874848081
8,-1.0,8,52622.6997551024,10821.729946784499,2428.6441136799144,1936.9390619561773,2109.229102051131,1286.0183969218401,196.2820260935789,100.95769912680316,197.61476376434038,153.55004607215614,80.31311577761687,106.83068548439347,174.49807994238407,111.37840504163864,110.71076845093455
8,0.0,8,53134.819369104414,11050.081193230892,2516.6142683606763,1984.599648335145,2193.4928666068,1289.2678951243831,205.1739475499685,131.80026344891348,213.69729068286696,183.09063930694077,111.61037854338781,162.7371264262398,207.1655051972223,139.61343348453582,119.40072465062053
8,1.0,8,53182.24983608664,11155.217587816,2550.8062563797666,2023.8896370556386,2262.8204237172577,1347.7514057789335,154.02985548618878,134.1052120491604,214.81017365611032,209.7359771932189,125.17811177805254,125.89522278731134,223.92401935432807,154.42734927844094,125.36954064964539
8,2.0,8,53652.41715451694,10936.86937940806,2615.4839444200366,2038.5180296069602,2262.142507639937,1340.181161236743,208.76665817621165,183.65707279572055,247.00870111239928,206.4409131703452,134.75218416257178,141.88426955072066,237.50767932959187,154.8205774651418,111.52710321794063
8,3.0,8,52940.66490804257,10763.583520880104,2520.49983265962,2088.632852217639,2238.963900566983,1318.9718070132446,249.43923001604844,138.72705436387332,246.26600481346335,183.07403447371593,118.50035006022756,149.78449944264196,245.58596104432743,146.69544091115927,112.58000506850897
8,4.0,8,53462.11441335052,11148.426412980773,2608.509346112492,2037.0897410520388,2278.697135955827,1343.4256670644304,220.45399925398397,169.691003170982,237.02384154977548,209.4465582940278,160.05721426317234,185.980698378905,217.82182748303651,140.74536137620646,117.93246353624431
8,5.0,8,53218.95076993154,11064.286260683959,2449.1286036551896,2015.4367777910943,2295.6890937771054,1329.827013420422,169.5506495451641,162.23690413432067,203.35465452308844,180.09001227568473,109.43302562939732,183.65017366726067,254.55726454118965,115.30002381359864,150.57472390797602
8,10.0,8,53058.01970652915,11099.382972344243,2504.737942783023,1978.1353820937961,2264.6172321348226,1330.2124788871824,178.11693394642134,141.27254700182928,195.39910169517188,177.3923459362083,120.39839764324972,133.9701341401559,203.43309691901894,146.49272993529348,135.23076197695354
8,20.0,8,53680.764798019045,11307.554332054762,2695.323417465778,2033.4755105909858,2460.7354597149274,1458.463836462174,264.1043408340629,185.98776120419237,267.7863719374999,224.8871312649229,137.30799730034812,145.92625767784114,250.95059060540237,150.0300559880095,123.85514905283424
9,-4.0,9,55381.1327744658,21248.04731356149,2597.6595150492294,1686.799898905208,2601.7383224040723,2509.3845459800177,356.35044992472024,152.26452290958883,181.83609946845556,238.19618324667283,29.49682097309855,251.98262200758654,313.1814454424611,104.07302252976584,72.76439733048922
9,-3.0,9,55018.28911356791,21363.314745425992,2498.2088222975945,1546.7978269099435,2492.715119671451,2482.3427060590234,329.86703740888254,128.3298518740626,150.91257934051026,200.62257557286387,-1.940280769365387,256.66122409823674,300.65596308155267,82.07934704029424,50.38196608490495
9,-2.0,9,55295.846325367245,20572.1548445023,2487.3080291985843,1593.236502240146,2504.2817386227694,2467.5053005380796,288.1608941193582,108.87848994527852,157.47343248786134,236.23149594755284,5.209176331526891,235.52367622841052,330.33038941848775,98.52047705027178,41.257217850206935
9,-1.5,9,54978.9746654892,21349.286710140095,2462.980009084088,1559.045738713712,2556.5670258483115,2461.9085152400507,336.69033362288417,144.46151126398473,146.9828381644267,195.55669153394487,18.49724570334783,241.9834843627525,305.42694970250585,65.18040856391838,58.100513420124635
9,-1.0,9,55461.344941609685,20640.084180593178,2528.0926149368147,1705.025091637519,2580.674223401091,2496.199816727271,311.8376394041435,134.3472727478407,196.5664030104535,188.1033935388383,18.513662168831928,252.7371493532478,296.82670605858965,108.77782010857743,51.83370429503391
9,-0.5,9,55280.53079113417,21042.48673231996,2501.070257233326,1623.576136456298,2527.3453382289135,2472.907288958351,337.19531320234114,142.41169091233158,143.84162348210177,209.4014410950914,31.925295806607068,265.28223298468424,316.8738519671055,79.91371753571173,91.60273146298285
9,0.0,9,55484.80801745185,20462.87824628867,2537.7801785106008,1631.6531732382077,2569.735367882286,2474.3650426640784,315.97749243032706,156.10550667422473,172.11088384794513,234.46908268143955,39.68647172102973,265.9454776054979,317.7564994135345,100.23140715210036,90.9683572394543
9,0.5,9,55470.546789921245,19777.97826361797,2495.1714987871574,1665.325955141713,2595.1701747339916,2374.733217999961,273.6598887002366,154.3586162249099,185.70544630912556,213.1390241527798,-17.525454747972532,234.4250999076196,311.79352350262997,103.9522535655218,65.34913799025304
9,1.0,9,55116.766771611976,20470.153701492567,2412.2734317577897,1600.2836126992295,2490.1270333873053,2417.3202003765446,259.80446954711135,117.31522087361762,147.12224075751936,156.90086573550786,20.930819962503477,214.5409476375487,315.72443485076786,99.04834873320067,61.54710228279129
9,1.5,9,55028.04406489234,20111.077768409607,2363.7915136888037,1575.6678561712515,2470.600381604929,2332.190478556522,253.43730693103166,99.8732680071885,152.13239832425046,173.8875496683637,-17.521060252972717,195.16840203182664,288.6857321109673,41.63868128927094,26.374498770461123
9,2.0,9,55194.69850440622,18291.977090596833,2326.5182573229918,1722.4927701005017,2371.527299188947,2017.495736567452,170.76107263352932,85.98807522741804,189.93022633708026,193.69095022661793,-42.804281430857515,106.26585274932836,297.5240709197246,74.00441502903516,37.39981364334319
9,2.5,9,55076.63939797983,17850.192301724488,2354.2932838681218,1832.372804175529,2269.6459635156734,1822.930657727108,130.52289524888084,87.21244149321687,217.34790587361155,208.41513720252522,-84.99492368369297,87.00593844610623,346.47119488997276,86.82798012970272,21.591045342011803
9,3.0,9,54223.03196729077,17159.128604271205,2265.5645461636714,1798.1247106218916,2091.7910909492934,1627.4263198139167,132.856741816765,66.13130308979025,150.88566372947997,184.80918329207714,-99.73883229226422,10.083467130591757,293.98106612681516,62.12033283494667,-6.85557291424896
9,3.5,9,54331.973180554785,15992.246258458963,2254.0616600109424,1852.6817451148231,2021.006308284845,1590.8556866002828,115.32850633338609,71.11684912497553,180.99288919700209,227.4650242443755,-112.15275911542736,42.22753043504484,316.344920363231,70.90036263741729,18.520547231507926
9,4.0,9,54732.79386603154,15219.669642943129,2285.3479700277953,2008.8512155287035,2078.153298059445,1522.9485473288182,137.20100917299925,71.6571466762371,235.6676314723529,232.72033419792444,-81.40277989047732,-5.0459898868168835,301.06889611008586,109.72566439172638,62.41849011043775
9,4.5,9,54375.224338041546,14019.740910673485,2320.3470360625347,2064.5552313194353,1972.5458456387291,1475.0182454740093,108.23199513179458,31.482386774815993,193.0435982211488,244.83303465866823,-69.66783359738989,-31.19006358305434,321.42114453338417,101.33647204834338,20.705403906607962
9,5.0,9,53833.760112249845,13463.23909455612,2264.5220033913765,2067.503476811826,1905.392428538361,1353.4915993034908,123.85270086506722,69.99608325114518,211.7169708176186,219.74345780313533,-84.75659166480833,0.06695719565662728,284.1693548138976,109.16610007423412,46.020234542514636
9,6.0,9,53395.254368471935,11680.890489525003,2216.5069659664505,2111.053243455501,1747.3401755297527,1208.1634529495027,90.43460179631967,40.0035525309775,176.0605327537539,250.0571609902462,-98.06927602323495,-50.376909502676895,279.2317126024311,77.85956384777671,7.310295109038471
9,7.0,9,52862.975085286205,10405.448800192868,2129.097178634725,1994.6731887436795,1671.5289000833573,1105.36596480604,56.80432088306321,-42.667453761179736,151.43150149297725,216.0687731411291,-102.48887569207105,-84.15807380183153,293.93219710709894,58.945098062572576,26.72273534969151
9,8.0,9,52204.11356574576,9745.163612320002,2107.199146888481,1980.8700076967334,1601.8307864342023,1106.6386720922976,28.62052422355493,-56.252024861760624,132.14681047520722,185.48134048515965,-149.89463941430373,-94.5575638915725,274.046887775934,65.98589193539203,10.809931328692592
9,10.0,9,51606.78285467331,8896.79459594098,2085.1265804622863,1930.0965117914989,1566.591185073903,1058.723190599221,38.55193751677195,-62.02673608263804,103.27450350863833,221.81655612740622,-158.59877325918515,-106.55641557868853,260.3241032807489,63.54023266027331,12.58588342526702
9,15.0,9,51987.29222354511,8824.657342114533,2142.9948615482544,2047.3923183177599,1662.45857984949,1104.5213087539628,58.334203595117344,4.448980444238987,140.24643631359837,236.85010776616411,-118.6480400736024,-59.68171620188674,281.456812666431,75.53979170939044,11.776675345257281
9,25.0,9,52351.23306741675,8900.61960087372,2211.8291445277605,1995.0342043811338,1755.6529423894249,1161.0155495324136,67.97737001567572,-34.38710573632347,155.36100726502963,212.70311216982566,-109.62904527697597,-80.97814199644861,286.39324659259205,81.86147587807716,7.919237895561373
9,50.0,9,52509.4704089841,8954.666836384335,2172.7091386363086,2045.6578269871493,1803.0383036619824,1218.0064703687726,75.3595376845347,-7.686467140309056,204.19193336530654,242.48727089065972,-101.8050615425731,-51.5750319788706,286.30404900559165,87.96238942186517,25.36076200782015
10,-4.0,10,47405.11453841092,32927.18474946328,1580.73795132995,1410.6876267679288,1771.4025844147286,3249.7456737684042,982.2297519132255,339.64685958469266,145.59328303260398,146.83150067094954,146.4802003488398,563.0282757831187,174.59225437955112,45.089448367479385,70.35451429343999
10,-3.0,10,47019.520490762654,32535.716521920564,1513.9485216550472,1406.7397159070517,1726.5964851143844,3241.8396604850227,949.857360564954,326.6857166267043,147.34875193937867,102.59324854343213,109.91708272434009,524.2975937897954,164.31863343927964,51.19349461308904,132.1371339080968
10,-2.0,10,47402.80261257261,31768.36465957334,1549.1472059582327,1442.532356759473,1756.622496068484,3206.0687408924086,945.2758458937346,331.9780328249521,171.41009343627618,132.82662480491223,191.35814737271374,549.1725450594879,192.22336868846605,27.530198576595843,126.45474760778376
10,-1.5,10,48373.04409649552,30698.336415861846,1670.9036095168897,1692.1829808340142,1943.5754453121212,3233.9482954876767,996.4788294525865,425.0682950283851,225.96788074928017,196.27784831059063,221.62634654376296,593.1345168116891,216.32230835285418,106.91639681079498,170.79101822288777
10,-1.0,10,48033.54014972477,30772.458857015772,1609.3038002918531,1474.2467771622712,1929.7281905178634,3157.6258878917447,988.1507175397519,403.9011551794219,191.85603527359243,177.85513199099665,196.0563077839226,555.205072346303,221.98930865308216,78.15487044274975,156.6151529814627
10,-0.5,10,47931.2735467784,31489.617091307075,1635.4048622205432,1531.1825641876446,1837.4940109881652,3346.7983543441433,1047.7560410388164,384.1181744892339,211.9085541126543,191.443593737796,226.70611006937264,585.0845895214852,219.49394043242728,52.85451815637126,119.19074222537625
10,0.0,10,47595.882870740825,30709.0953435278,1530.1374374178715,1410.8890143931646,1814.9392656770556,3169.3210486125513,959.9752610450585,334.4340044973382,148.2689430816986,131.5271106058854,170.56538808974366,531.8081770452618,187.6405498459901,30.307628328972818,108.57048689880327
10,0.5,10,48383.77048451146,29656.169266496905,1606.5206724729267,1456.097620147071,1929.054376243882,3139.933715141164,928.5369554505858,351.10958184174564,189.409776095303,142.09930793918153,202.2126329439474,543.7484239738701,185.0234725108273,73.66039030233871,135.54719690596886
10,1.0,10,47655.24358322971,30236.791476157025,1438.4161969771174,1291.056341541638,1724.2086053203566,3136.723830213992,870.9464111285863,293.2358332036585,138.97480839210928,120.33108540685275,131.07858613684533,509.13462022568416,162.98795852300734,39.28555778390379,108.9982022468244
10,1.5,10,47855.104144196404,29336.46488570949,1446.742506769425,1461.6545318242167,1736.288446697827,2918.996119571683,855.0281720414926,359.2461752483029,166.7737892140033,116.3099908764746,142.5138593847059,454.8778977715156,168.21528361038983,37.49695023428186,123.49635148009457
10,2.0,10,47473.28969908089,27607.751143663798,1421.9893662470556,1575.6164090331856,1590.7840138062556,2483.9682511052297,673.6727056032304,288.09791581519266,161.40676777429806,109.65049816571177,64.6036637212964,305.786769118324,155.71970807851037,3.3740710428973344,81.56129694587054
10,2.5,10,47634.609552121496,25659.974936431594,1440.1033522905443,1695.8031903042322,1525.4478140515903,2220.8375784365835,656.0774549197771,280.85591981541415,223.75411663590657,157.79281913260007,69.37186465792539,270.1762032577863,146.0225334010158,20.644495127394215,49.95687349652332
